TILENAME,RA_CENT,DEC_CENT
DES1625-0915,246.28193500,-9.26392600
DES1015-1624,153.88074800,-16.40281500
DES1022+0043,155.60015000,0.73051900
DES1329-3706,202.33675400,-37.10559300
DES1457-0250,224.49375200,-2.83892600
DES0959-2958,149.85464400,-29.96670400
DES1046-4040,161.61694400,-40.67503700
DES1118-3206,169.52552900,-32.10837000
DES1330-4623,202.71030300,-46.38614800
DES1457-2458,224.48499100,-24.96948100
DES1307+1126,196.87395800,11.43885200
DES0840+2625,130.24904900,26.43051900
DES0930+2917,142.54403400,29.28607400
DES1233+1709,188.44166600,17.14996300
DES0952-1707,148.05601700,-17.11670400
DES1207+1543,181.98896900,15.72218500
DES1551+0209,237.90689500,2.15829600
DES1253-2749,193.49163200,-27.82503700
DES1640+0752,250.11426800,7.86940700
DES0802-0207,120.74152300,-2.12503700
DES1214+1209,183.73353800,12.15274100
DES1346-4457,206.56000100,-44.95837000
DES1414-4748,213.72013200,-47.81392600
DES1629-2458,247.32230300,-24.96948100
DES0743+0252,115.85513500,2.87218500
DES0942+1543,145.64880900,15.72218500
DES1128-0124,172.07800000,-1.41114800
DES0857-0250,134.43322500,-2.83892600
DES1408+0043,212.00195700,0.73051900
DES0902+0126,135.66182200,1.44440700
DES1235-1624,188.85705100,-16.40281500
DES1351-4249,207.93955300,-42.81670400
DES0913+0001,138.44726900,0.01663000
DES1218+1417,184.63124100,14.29440700
DES1220+2500,185.18355700,25.00274100
DES1137-0750,174.42249600,-7.83614800
DES1320-0833,200.15522100,-8.55003700
DES1437-1749,219.46345200,-17.83059300
DES1006+1626,151.68879300,16.43607400
DES0939+1334,144.87437600,13.58051900
DES0950+2417,147.61544300,24.28885200
DES0942+2543,145.58051000,25.71663000
DES1353-1915,208.40771100,-19.25837000
DES0851+0209,132.89072700,2.15829600
DES1636-2041,249.23137100,-20.68614800
DES1108+0001,167.00282500,0.01663000
DES0810+3000,122.73066900,29.99996300
DES1346+0626,206.68042300,6.44163000
DES1331-0207,202.89524200,-2.12503700
DES1456-2041,224.04955800,-20.68614800
DES0910+0752,137.68884900,7.86940700
DES1724-0707,261.05074600,-7.12225900
DES0808-0707,122.19879800,-7.12225900
DES1231-1541,187.87741300,-15.68892600
